Order Date,Sales,Profit,Quantity,Discount,Year,Month,Quarter,Day,DayOfWeek,DayOfYear,WeekOfYear,lag_1,lag_7,roll_mean_7
2019-01-11,9.94,3.0814,2,0.0,2019,1,1,11,4,11,2,54.83,16.448,139.13085714285714
2019-01-13,462.685,54.5844,25,0.15,2019,1,1,13,6,13,2,9.94,288.06,138.20114285714286
2019-01-14,61.96,-53.2856,4,0.5,2019,1,1,14,0,14,3,462.685,19.536,163.1475714285714
2019-01-15,149.95,65.978,5,0.0,2019,1,1,15,1,15,3,61.96,467.34000000000003,169.20814285714283
2019-01-16,299.964,-5.933499999999999,14,0.375,2019,1,1,16,2,16,3,149.95,87.15799999999999,123.86671428571428
2019-01-18,64.864,6.4864,4,0.2,2019,1,1,18,4,18,3,299.964,40.544,154.26757142857144
2019-01-19,378.594,-287.9976,24,0.44999999999999996,2019,1,1,19,5,19,3,64.864,54.83,157.74185714285713
2019-01-20,906.0,178.1203,48,0.05333333333333333,2019,1,1,20,6,20,3,378.594,9.94,203.99385714285714
2019-01-21,25.248,4.1028,3,0.2,2019,1,1,21,0,21,4,906.0,462.685,332.00242857142854
2019-01-23,46.019999999999996,19.2384,9,0.0,2019,1,1,23,2,23,4,25.248,61.96,269.51142857142855
2019-01-26,1097.25,150.327,38,0.0,2019,1,1,26,5,26,4,46.019999999999996,149.95,267.2342857142857
2019-01-27,426.66999999999996,9.6827,8,0.06666666666666667,2019,1,1,27,6,27,4,1097.25,299.964,402.5628571428571
2019-01-28,3.928,1.3257,1,0.2,2019,1,1,28,0,28,5,426.66999999999996,64.864,420.6637142857143
2019-01-30,240.5,11.6502,4,0.0,2019,1,1,30,2,30,5,3.928,378.594,411.9585714285714
2019-01-31,290.666,3.4196,2,0.15,2019,1,1,31,3,31,5,240.5,906.0,392.23085714285713
2019-02-01,468.9,206.316,6,0.0,2019,2,1,1,4,32,5,290.666,25.248,304.326
2019-02-02,211.64600000000002,7.152499999999999,12,0.3,2019,2,1,2,5,33,5,468.9,46.019999999999996,367.7048571428571
2019-02-03,97.11200000000001,31.5614,5,0.2,2019,2,1,3,6,34,5,211.64600000000002,1097.25,391.36571428571426
2019-02-04,134.38400000000001,51.1432,9,0.13333333333333333,2019,2,1,4,0,35,6,97.11200000000001,426.66999999999996,248.48885714285714
2019-02-06,330.512,76.4833,12,0.2,2019,2,1,6,2,37,6,134.38400000000001,3.928,206.73371428571429
2019-02-07,180.32,59.3488,11,0.0,2019,2,1,7,3,38,6,330.512,240.5,253.38857142857142
2019-02-08,14.56,5.5328,2,0.0,2019,2,1,8,4,39,6,180.32,290.666,244.79142857142855
2019-02-11,787.1800000000001,218.1553,19,0.0,2019,2,1,11,0,42,7,14.56,468.9,205.3477142857143
2019-02-12,129.568,-24.294,2,0.2,2019,2,1,12,1,43,7,787.1800000000001,211.64600000000002,250.8162857142857
2019-02-14,576.726,120.1764,10,0.05,2019,2,1,14,3,45,7,129.568,97.11200000000001,239.09085714285717
2019-02-15,21.36,7.209,5,0.2,2019,2,1,15,4,46,7,576.726,134.38400000000001,307.60714285714283
2019-02-16,9.04,-15.658,5,0.8,2019,2,1,16,5,47,7,21.36,330.512,291.46085714285715
2019-02-17,54.208,8.8088,14,0.2,2019,2,1,17,6,48,7,9.04,180.32,245.53628571428573
2019-02-18,37.784,-13.846799999999998,7,0.4,2019,2,1,18,0,49,8,54.208,14.56,227.52028571428573
2019-02-20,95.59,35.5612,9,0.0,2019,2,1,20,2,51,8,37.784,787.1800000000001,230.83800000000002
2019-02-21,8.85,-13.7175,5,0.8,2019,2,1,21,3,52,8,95.59,129.568,132.03942857142857
2019-02-22,19.44,9.3312,3,0.0,2019,2,1,22,4,53,8,8.85,576.726,114.794
2019-02-23,11.364,-4.522500000000001,6,0.5,2019,2,1,23,5,54,8,19.44,21.36,35.181714285714285
2019-02-24,55.672,18.789299999999997,7,0.2,2019,2,1,24,6,55,8,11.364,9.04,33.75371428571428
2019-02-27,19.456,3.4048,4,0.2,2019,2,1,27,2,58,9,55.672,54.208,40.41542857142857
2019-03-01,1569.0349999999999,-36.84420000000001,34,0.24444444444444446,2019,3,1,1,4,60,9,19.456,37.784,35.45085714285714
2019-03-02,202.384,56.0112,11,0.1,2019,3,1,2,5,61,9,1569.0349999999999,95.59,254.201
2019-03-03,719.54,-606.3107,32,0.2875,2019,3,1,3,6,62,9,202.384,8.85,269.4572857142857
2019-03-04,370.452,20.0778,8,0.1,2019,3,1,4,0,63,10,719.54,19.44,370.9844285714285
2019-03-05,705.562,261.19010000000003,16,0.04,2019,3,1,5,1,64,10,370.452,11.364,421.12899999999996
2019-03-07,1561.062,134.1539,27,0.1,2019,3,1,7,3,66,10,705.562,55.672,520.3001428571428
2019-03-10,105.548,20.0988,6,0.1,2019,3,1,10,6,69,10,1561.062,19.456,735.3558571428572
2019-03-11,330.344,114.42940000000002,36,0.05714285714285715,2019,3,1,11,0,70,11,105.548,1569.0349999999999,747.6547142857142
2019-03-14,393.71999999999997,87.4754,32,0.08888888888888889,2019,3,1,14,3,73,11,330.344,202.384,570.698857142857
2019-03-15,370.782,33.598,14,0.4,2019,3,1,15,4,74,11,393.71999999999997,719.54,598.0325714285715
2019-03-16,471.92,29.495,2,0.2,2019,3,1,16,5,75,11,370.782,370.452,548.2099999999999
2019-03-17,695.128,292.1667,68,0.05,2019,3,1,17,6,76,11,471.92,705.562,562.7054285714286
2019-03-18,312.448,52.2017,17,0.16666666666666666,2019,3,1,18,0,77,12,695.128,1561.062,561.2148571428571
2019-03-19,590.7620000000001,68.6353,23,0.2714285714285714,2019,3,1,19,1,78,12,312.448,105.548,382.84142857142854
2019-03-21,609.886,145.39170000000001,32,0.12000000000000002,2019,3,1,21,3,80,12,590.7620000000001,330.344,452.15771428571423
2019-03-22,464.09299999999996,-50.9345,17,0.36,2019,3,1,22,4,81,12,609.886,393.71999999999997,492.09228571428577
2019-03-23,340.31199999999995,89.1254,5,0.1,2019,3,1,23,5,82,12,464.09299999999996,370.782,502.1455714285714
2019-03-24,65.38,26.2758,7,0.0,2019,3,1,24,6,83,12,340.31199999999995,471.92,497.7927142857143
2019-03-25,459.146,96.6684,21,0.02,2019,3,1,25,0,84,13,65.38,695.128,439.7155714285714
2019-03-26,145.13,30.7658,16,0.08,2019,3,1,26,1,85,13,459.146,312.448,406.00385714285716
2019-03-28,639.084,-117.70019999999998,7,0.20000000000000004,2019,3,1,28,3,87,13,145.13,590.7620000000001,382.10128571428567
2019-03-30,1170.3220000000001,232.7529,39,0.09444444444444444,2019,3,1,30,5,89,13,639.084,609.886,389.00442857142855
2019-03-31,160.49599999999998,4.041500000000001,20,0.4714285714285714,2019,3,1,31,6,90,13,1170.3220000000001,464.09299999999996,469.0667142857143
2019-04-01,119.888,26.0896,12,0.05,2019,4,2,1,0,91,14,160.49599999999998,340.31199999999995,425.69571428571436
2019-04-02,408.62800000000004,113.4158,22,0.08,2019,4,2,2,1,92,14,119.888,65.38,394.20657142857146
2019-04-03,233.45,85.6044,7,0.0,2019,4,2,3,2,93,14,408.62800000000004,459.146,443.2420000000001
2019-04-04,475.844,105.4521,25,0.025,2019,4,2,4,3,94,14,233.45,145.13,410.9997142857143
2019-04-05,441.228,149.9288,43,0.03636363636363637,2019,4,2,5,4,95,14,475.844,639.084,458.2445714285715
2019-04-06,997.14,188.41169999999997,35,0.1416666666666667,2019,4,2,6,5,96,14,441.228,1170.3220000000001,429.9794285714286
2019-04-07,391.22,141.269,17,0.0,2019,4,2,7,6,97,14,997.14,160.49599999999998,405.23914285714284
2019-04-08,742.83,43.7089,19,0.20000000000000004,2019,4,2,8,0,98,15,391.22,119.888,438.1997142857143
2019-04-11,1156.888,257.8497,31,0.15000000000000002,2019,4,2,11,3,101,15,742.83,408.62800000000004,527.1914285714286
2019-04-12,837.035,58.5879,21,0.11000000000000001,2019,4,2,12,4,102,15,1156.888,233.45,634.0857142857143
2019-04-13,128.606,23.181800000000003,32,0.2,2019,4,2,13,5,103,15,837.035,475.844,720.3121428571429
2019-04-15,294.71999999999997,108.0,6,0.0,2019,4,2,15,0,105,16,128.606,441.228,670.7067142857143
2019-04-16,39.072,9.768,6,0.2,2019,4,2,16,1,106,16,294.71999999999997,997.14,649.777
2019-04-18,1020.532,169.9374,26,0.1375,2019,4,2,18,3,108,16,39.072,391.22,512.9101428571429
2019-04-19,205.47,87.5664,17,0.0,2019,4,2,19,4,109,16,1020.532,742.83,602.8118571428571
2019-04-20,506.35,-98.7828,11,0.16666666666666666,2019,4,2,20,5,110,16,205.47,1156.888,526.0461428571429
2019-04-21,16.52,5.5755,5,0.2,2019,4,2,21,6,111,16,506.35,837.035,433.1121428571428
2019-04-22,257.752,124.78689999999999,11,0.1,2019,4,2,22,0,112,17,16.52,128.606,315.8957142857143
2019-04-23,362.608,11.753499999999999,18,0.38,2019,4,2,23,1,113,17,257.752,294.71999999999997,334.34514285714283
2019-04-25,892.954,184.1631,16,0.12000000000000002,2019,4,2,25,3,115,17,362.608,39.072,344.0434285714286
2019-04-26,282.568,40.745,16,0.1,2019,4,2,26,4,116,17,892.954,1020.532,466.0265714285714
2019-04-28,898.5160000000001,166.1702,24,0.07500000000000001,2019,4,2,28,6,118,17,282.568,205.47,360.6031428571428
2019-04-29,207.26,31.4834,14,0.04,2019,4,2,29,0,119,18,898.5160000000001,506.35,459.6097142857143
2019-04-30,222.73999999999998,61.735600000000005,8,0.0,2019,4,2,30,1,120,18,207.26,16.52,416.8825714285714
2019-05-02,506.12,91.9572,5,0.2,2019,5,2,2,3,122,18,222.73999999999998,257.752,446.34257142857143
2019-05-03,72.632,28.8624,13,0.13333333333333333,2019,5,2,3,4,123,18,506.12,362.608,481.8237142857143
2019-05-04,187.43200000000002,58.5624,25,0.06666666666666667,2019,5,2,4,5,124,18,72.632,892.954,440.3985714285714
2019-05-05,260.977,34.5131,15,0.07142857142857142,2019,5,2,5,6,125,18,187.43200000000002,282.568,339.60971428571435
